,name,region,life_expectancy
0,Aruba,Caribbean,78.4
1,Afghanistan,Southern and Central Asia,45.9
2,Angola,Central Africa,38.3
3,Anguilla,Caribbean,76.1
4,Albania,Southern Europe,71.6
5,Andorra,Southern Europe,83.5
6,Netherlands Antilles,Caribbean,74.7
7,united Arab Emirates,Middle East,74.1
8,Argentina,South America,75.1
9,Armenia,Middle East,66.4
10,American Samoa,Polynesia,75.1
11,Antarctica,Antarctica,
12,French Southern territories,Antarctica,
13,Antigua and Barbuda,Caribbean,70.5
14,Australia,Australia and New Zealand,79.8
15,Austria,Western Europe,77.7
16,Azerbaijan,Middle East,62.9
17,Burundi,Eastern Africa,46.2
18,Belgium,Western Europe,77.8
19,Benin,Western Africa,50.2
20,Burkina Faso,Western Africa,46.7
21,Bangladesh,Southern and Central Asia,60.2
22,Bulgaria,Eastern Europe,70.9
23,Bahrain,Middle East,73.0
24,Bahamas,Caribbean,71.1
25,Bosnia and Herzegovina,Southern Europe,71.5
26,Belarus,Eastern Europe,68.0
27,Belize,Central America,70.9
28,Bermuda,North America,76.9
29,Bolivia,South America,63.7
30,Brazil,South America,62.9
31,Barbados,Caribbean,73.0
32,Brunei,Southeast Asia,73.6
33,Bhutan,Southern and Central Asia,52.4
34,Bouvet Island,Antarctica,
35,Botswana,Southern Africa,39.3
36,Central African Republic,Central Africa,44.0
37,Canada,North America,79.4
38,Cocos (Keeling) Islands,Australia and New Zealand,
39,Switzerland,Western Europe,79.6
40,Chile,South America,75.7
41,China,Eastern Asia,71.4
42,Cote dIvoire,Western Africa,45.2
43,Cameroon,Central Africa,54.8
44,"Congo, The Democratic Republic of the",Central Africa,48.8
45,Congo,Central Africa,47.4
46,Cook Islands,Polynesia,71.1
47,Colombia,South America,70.3
48,Comoros,Eastern Africa,60.0
49,Cape Verde,Western Africa,68.9
50,Costa Rica,Central America,75.8
51,Cuba,Caribbean,76.2
52,Christmas Island,Australia and New Zealand,
53,Cayman Islands,Caribbean,78.9
54,Cyprus,Middle East,76.7
55,Czech Republic,Eastern Europe,74.5
56,Germany,Western Europe,77.4
57,Djibouti,Eastern Africa,50.8
58,Dominica,Caribbean,73.4
59,Denmark,Nordic Countries,76.5
60,Dominican Republic,Caribbean,73.2
61,Algeria,Northern Africa,69.7
62,Ecuador,South America,71.1
63,Egypt,Northern Africa,63.3
64,Eritrea,Eastern Africa,55.8
65,Western Sahara,Northern Africa,49.8
66,Spain,Southern Europe,78.8
67,Estonia,Baltic Countries,69.5
68,Ethiopia,Eastern Africa,45.2
69,Finland,Nordic Countries,77.4
70,Fiji Islands,Melanesia,67.9
71,Falkland Islands,South America,
72,France,Western Europe,78.8
73,Faroe Islands,Nordic Countries,78.4
74,"Micronesia, Federated States of",Micronesia,68.6
75,Gabon,Central Africa,50.1
76,united Kingdom,British Islands,77.7
77,Georgia,Middle East,64.5
78,Ghana,Western Africa,57.4
79,Gibraltar,Southern Europe,79.0
80,Guinea,Western Africa,45.6
81,Guadeloupe,Caribbean,77.0
82,Gambia,Western Africa,53.2
83,Guinea-Bissau,Western Africa,49.0
84,Equatorial Guinea,Central Africa,53.6
85,Greece,Southern Europe,78.4
86,Grenada,Caribbean,64.5
87,Greenland,North America,68.1
88,Guatemala,Central America,66.2
89,French Guiana,South America,76.1
90,Guam,Micronesia,77.8
91,Guyana,South America,64.0
92,Hong Kong,Eastern Asia,79.5
93,Heard Island and McDonald Islands,Antarctica,
94,Honduras,Central America,69.9
95,Croatia,Southern Europe,73.7
96,Haiti,Caribbean,49.2
97,Hungary,Eastern Europe,71.4
98,Indonesia,Southeast Asia,68.0
99,India,Southern and Central Asia,62.5
100,British Indian Ocean Territory,Eastern Africa,
101,Ireland,British Islands,76.8
102,Iran,Southern and Central Asia,69.7
103,Iraq,Middle East,66.5
104,Iceland,Nordic Countries,79.4
105,Israel,Middle East,78.6
106,Italy,Southern Europe,79.0
107,Jamaica,Caribbean,75.2
108,Jordan,Middle East,77.4
109,Japan,Eastern Asia,80.7
110,Kazakstan,Southern and Central Asia,63.2
111,Kenya,Eastern Africa,48.0
112,Kyrgyzstan,Southern and Central Asia,63.4
113,Cambodia,Southeast Asia,56.5
114,Kiribati,Micronesia,59.8
115,Saint Kitts and Nevis,Caribbean,70.7
116,South Korea,Eastern Asia,74.4
117,Kuwait,Middle East,76.1
118,Laos,Southeast Asia,53.1
119,Lebanon,Middle East,71.3
120,Liberia,Western Africa,51.0
121,Libyan Arab Jamahiriya,Northern Africa,75.5
122,Saint Lucia,Caribbean,72.3
123,Liechtenstein,Western Europe,78.8
124,Sri Lanka,Southern and Central Asia,71.8
125,Lesotho,Southern Africa,50.8
126,Lithuania,Baltic Countries,69.1
127,Luxembourg,Western Europe,77.1
128,Latvia,Baltic Countries,68.4
129,Macao,Eastern Asia,81.6
130,Morocco,Northern Africa,69.1
131,Monaco,Western Europe,78.8
132,Moldova,Eastern Europe,64.5
133,Madagascar,Eastern Africa,55.0
134,Maldives,Southern and Central Asia,62.2
135,Mexico,Central America,71.5
136,Marshall Islands,Micronesia,65.5
137,Macedonia,Southern Europe,73.8
138,Mali,Western Africa,46.7
139,Malta,Southern Europe,77.9
140,Myanmar,Southeast Asia,54.9
141,Mongolia,Eastern Asia,67.3
142,Northern Mariana Islands,Micronesia,75.5
143,Mozambique,Eastern Africa,37.5
144,Mauritania,Western Africa,50.8
145,Montserrat,Caribbean,78.0
146,Martinique,Caribbean,78.3
147,Mauritius,Eastern Africa,71.0
148,Malawi,Eastern Africa,37.6
149,Malaysia,Southeast Asia,70.8
150,Mayotte,Eastern Africa,59.5
151,Namibia,Southern Africa,42.5
