continent,head_of_state
Africa,Jose Eduardo dos Santos
Africa,Pierre Buyoya
Africa,Mathieu Kerekou
Africa,Blaise Compaore
Africa,Festus G. Mogae
Africa,Ange-Felix Patasse
Africa,Laurent Gbagbo
Africa,Paul Biya
Africa,Joseph Kabila
Africa,Denis Sassou-Nguesso
Africa,Azali Assoumani
Africa,Antonio Mascarenhas Monteiro
Africa,Ismail Omar Guelleh
Africa,Abdelaziz Bouteflika
Africa,Hosni Mubarak
Africa,Isayas Afewerki [Isaias Afwerki]
Africa,Mohammed Abdel Aziz
Africa,Negasso Gidada
Africa,Omar Bongo
Africa,John Kufuor
Africa,Lansana Conte
Africa,Yahya Jammeh
Africa,Kumba Iala
Africa,Teodoro Obiang Nguema Mbasogo
Africa,Elisabeth II
Africa,Daniel arap Moi
Africa,Charles Taylor
Africa,Muammar al-Qadhafi
Africa,Letsie III
Africa,Mohammed VI
Africa,Didier Ratsiraka
Africa,Alpha Oumar Konare
Africa,JoaquIm A. Chissano
Africa,Maaouiya Ould Sid Ahmad Taya
Africa,Cassam uteem
Africa,Bakili Muluzi
Africa,Jacques Chirac
Africa,Sam Nujoma
Africa,Mamadou Tandja
Africa,Olusegun Obasanjo
Africa,Jacques Chirac
Africa,Paul Kagame
Africa,Omar Hassan Ahmad al-Bashir
Africa,Abdoulaye Wade
Africa,Elisabeth II
Africa,Ahmed Tejan Kabbah
Africa,Abdiqassim Salad Hassan
Africa,Miguel Trovoada
Africa,Mswati III
Africa,France-Albert Rene
Africa,Idriss Deby
Africa,Gnassingbe Eyadema
Africa,Zine al-Abidine Ben Ali
Africa,Benjamin William Mkapa
Africa,Yoweri Museveni
Africa,Thabo Mbeki
Africa,Frederick Chiluba
Africa,Robert G. Mugabe
North America,Willem-Alexander
North America,Elisabeth II
North America,Willem-Alexander
North America,Elisabeth II
North America,Elisabeth II
North America,Elisabeth II
North America,Elisabeth II
North America,Elisabeth II
North America,Elisabeth II
North America,Miguel angel RodrIguez EcheverrIa
North America,Fidel Castro Ruz
North America,Elisabeth II
North America,Vernon Shaw
North America,Hipolito MejIa DomInguez
North America,Jacques Chirac
North America,Elisabeth II
North America,Margrethe II
North America,Alfonso Portillo Cabrera
North America,Carlos Roberto Flores Facusse
North America,Jean-Bertrand Aristide
North America,Elisabeth II
North America,Elisabeth II
North America,Elisabeth II
North America,Vicente Fox Quesada
North America,Elisabeth II
North America,Jacques Chirac
North America,Arnoldo Aleman Lacayo
North America,Mireya Elisa Moscoso RodrIguez
North America,George W. Bush
North America,Francisco Guillermo Flores Perez
North America,Jacques Chirac
North America,Elisabeth II
North America,Arthur N. R. Robinson
North America,George W. Bush
North America,Elisabeth II
North America,Elisabeth II
North America,George W. Bush
